DATE;TIME;OPEN;HIGH;LOW;CLOSE;TICKVOL;VOL;SPREAD
2026.09.04;09:00:00;187870;188340;187135;188010;42509;371955;0
2026.09.04;09:05:00;188010;188125;187620;187940;39374;339436;0
2026.09.04;09:10:00;187940;187960;187400;187720;29950;265759;0
2026.09.04;09:15:00;187715;187825;187580;187735;19731;176777;0
2026.09.04;09:20:00;187730;187915;187530;187770;18147;163143;0
2026.09.04;09:25:00;187770;187820;187155;187390;23619;206299;0
2026.09.04;09:30:00;187395;187455;185950;187070;63530;488011;0
2026.09.04;09:35:00;187070;187365;186925;187035;29712;267447;0
2026.09.04;09:40:00;187030;187220;186875;186915;19458;174438;0
2026.09.04;09:45:00;186920;187080;186715;186970;28339;274385;0
2026.09.04;09:50:00;186970;187165;186740;186780;21748;197956;0
2026.09.04;09:55:00;186775;187085;186670;187035;18213;150253;0
2026.09.04;10:00:00;187040;187120;186630;186665;29645;291181;0
2026.09.04;10:05:00;186670;187085;186645;186740;28095;267379;0
2026.09.04;10:10:00;186740;186875;186435;186710;32293;344520;0
2026.09.04;10:15:00;186715;186855;186195;186290;31560;312298;0
2026.09.04;10:20:00;186290;186670;186160;186330;29726;324779;0
2026.09.04;10:25:00;186335;186340;185520;185710;38899;377977;0
2026.09.04;10:30:00;185710;186505;185650;186175;47524;526501;0
2026.09.04;10:35:00;186175;186420;185935;185985;31644;337125;0
2026.09.04;10:40:00;185980;186750;185905;186620;40223;436996;0
2026.09.04;10:45:00;186625;186925;186535;186725;30336;324367;0
2026.09.04;10:50:00;186730;186760;186265;186385;32336;337794;0
2026.09.04;10:55:00;186380;186445;186070;186320;29039;302143;0
2026.09.04;11:00:00;186320;186760;186315;186620;25205;260150;0
2026.09.04;11:05:00;186620;186960;186590;186825;21415;235290;0
2026.09.04;11:10:00;186830;187320;186825;187240;25521;286092;0
2026.09.04;11:15:00;187240;187630;187160;187465;26179;286614;0
2026.09.04;11:20:00;187460;187885;187455;187685;24641;267020;0
2026.09.04;11:25:00;187685;187920;187630;187790;22665;252938;0
2026.09.04;11:30:00;187790;187885;187560;187765;18335;202901;0
2026.09.04;11:35:00;187770;188080;187690;188030;22722;263816;0
2026.09.04;11:40:00;188030;188075;187840;187960;16154;164369;0
2026.09.04;11:45:00;187955;188110;187780;187915;19834;201909;0
2026.09.04;11:50:00;187920;188095;187865;187930;12244;121088;0
2026.09.04;11:55:00;187930;188240;187925;188065;17765;183101;0
2026.09.04;12:00:00;188060;188315;188060;188265;15134;153644;0
2026.09.04;12:05:00;188260;188345;188035;188170;15572;171981;0
2026.09.04;12:10:00;188165;188220;188080;188145;8980;86942;0
2026.09.04;12:15:00;188145;188265;188105;188170;9757;109096;0
2026.09.04;12:20:00;188165;188390;188125;188285;10715;116506;0
